Width,Drop,Cost,ID,prID
610,600,17.13,598078,1,
610,700,18.34,598097,1,
610,800,19.56,598116,1,
610,900,20.77,598135,1,
610,1000,21.98,598154,1,
610,1100,23.19,598173,1,
610,1200,24.4,598192,1,
610,1300,25.61,598211,1,
610,1400,26.82,598230,1,
610,1500,28.03,598249,1,
610,1600,29.24,598268,1,
610,1700,28.83,598287,1,
610,1800,30.47,598306,1,
610,1900,31.61,598325,1,
610,2000,32.75,598344,1,
610,2100,33.89,598363,1,
610,2200,35.04,598382,1,
610,2300,36.18,598401,1,
610,2400,38.06,598420,1,
610,2500,39.21,598439,1,
610,2600,40.35,598457,1,
610,2700,41.49,598474,1,
610,2800,42.63,598491,1,
610,2900,43.78,598507,1,
610,3000,44.92,598522,1,
610,3100,46.06,598536,1,
610,3200,47.2,598550,1,
710,600,19.6,598079,1,
710,700,21.01,598098,1,
710,800,22.42,598117,1,
710,900,23.84,598136,1,
710,1000,25.25,598155,1,
710,1100,26.66,598174,1,
710,1200,28.07,598193,1,
710,1300,29.48,598212,1,
710,1400,30.89,598231,1,
710,1500,30.57,598250,1,
710,1600,31.9,598269,1,
710,1700,33.23,598288,1,
710,1800,35.06,598307,1,
710,1900,36.39,598326,1,
710,2000,37.72,598345,1,
710,2100,39.05,598364,1,
710,2200,40.38,598383,1,
710,2300,41.71,598402,1,
710,2400,43.78,598421,1,
710,2500,45.11,598440,1,
710,2600,46.44,598458,1,
710,2700,47.77,598475,1,
710,2800,49.11,598492,1,
710,2900,50.44,598508,1,
710,3000,51.77,598523,1,
710,3100,53.1,598537,1,
710,3200,54.43,598551,1,
710,3300,55.76,2231362,1,
710,3400,57.09,2231379,1,
710,3500,58.42,2231380,1,
710,3600,59.75,2231381,1,
810,600,21.37,598080,1,
810,700,22.97,598099,1,
810,800,24.57,598118,1,
810,900,26.17,598137,1,
810,1000,27.77,598156,1,
810,1100,29.37,598175,1,
810,1200,30.96,598194,1,
810,1300,30.82,598213,1,
810,1400,32.33,598232,1,
810,1500,33.84,598251,1,
810,1600,35.34,598270,1,
810,1700,36.85,598289,1,
810,1800,38.86,598308,1,
810,1900,40.36,598327,1,
810,2000,41.87,598346,1,
810,2100,43.38,598365,1,
810,2200,44.89,598384,1,
810,2300,46.4,598403,1,
810,2400,48.65,598422,1,
810,2500,50.16,598441,1,
810,2600,51.67,598459,1,
810,2700,53.18,598476,1,
810,2800,54.68,598493,1,
810,2900,56.19,598509,1,
810,3000,57.7,598524,1,
810,3100,59.21,598538,1,
810,3200,60.72,598552,1,
910,600,23.14,598081,1,
910,700,24.92,598100,1,
910,800,26.71,598119,1,
910,900,28.5,598138,1,
910,1000,30.29,598157,1,
910,1100,30.36,598176,1,
910,1200,32.04,598195,1,
910,1300,33.73,598214,1,
910,1400,35.42,598233,1,
910,1500,37.1,598252,1,
910,1600,38.79,598271,1,
910,1700,40.48,598290,1,
910,1800,42.66,598309,1,
910,1900,44.34,598328,1,
910,2000,46.03,598347,1,
910,2100,47.72,598366,1,
910,2200,49.4,598385,1,
910,2300,51.09,598404,1,
910,2400,53.52,598423,1,
910,2500,55.2,598442,1,
910,2600,56.89,598460,1,
910,2700,58.58,598477,1,
910,2800,60.26,598494,1,
910,2900,61.95,598510,1,
910,3000,63.64,598525,1,
910,3100,65.32,598539,1,
910,3200,67.01,598553,1,
910,3300,68.7,2231375,1,
910,3400,70.39,2231376,1,
910,3500,72.08,2231377,1,
910,3600,73.77,2231378,1,
1010,600,25.62,598082,1,
1010,700,27.61,598101,1,
1010,800,29.6,598120,1,
1010,900,31.59,598139,1,
1010,1000,31.77,598158,1,
1010,1100,33.65,598177,1,
1010,1200,35.52,598196,1,
1010,1300,37.4,598215,1,
1010,1400,39.27,598234,1,
1010,1500,41.14,598253,1,
1010,1600,43.02,598272,1,
1010,1700,44.89,598291,1,
1010,1800,47.26,598310,1,
1010,1900,49.14,598329,1,
1010,2000,51.01,598348,1,
1010,2100,52.89,598367,1,
1010,2200,54.76,598386,1,
1010,2300,56.64,598405,1,
1010,2400,59.25,598424,1,
1010,2500,61.13,598443,1,
1010,2600,63,598461,1,
1010,2700,64.88,598478,1,
1010,2800,66.75,598495,1,
1010,2900,68.63,598511,1,
1010,3000,70.5,598526,1,
1010,3100,72.38,598540,1,
1010,3200,74.25,598554,1,
1010,3300,76.12,2231374,1,
1110,600,27.39,598083,1,
1110,700,29.57,598102,1,
1110,800,31.74,598121,1,
1110,900,33.92,598140,1,
1110,1000,34.15,598159,1,
1110,1100,36.2,598178,1,
1110,1200,38.25,598197,1,
1110,1300,40.31,598216,1,
1110,1400,42.36,598235,1,
1110,1500,44.41,598254,1,
1110,1600,46.46,598273,1,
1110,1700,48.52,598292,1,
1110,1800,51.06,598311,1,
1110,1900,53.12,598330,1,
1110,2000,55.17,598349,1,
1110,2100,57.22,598368,1,
1110,2200,59.27,598387,1,
1110,2300,61.33,598406,1,
1110,2400,64.12,598425,1,
1110,2500,66.17,598444,1,
1110,2600,68.23,598462,1,
1110,2700,70.28,598479,1,
1110,2800,72.33,598496,1,
1110,2900,74.38,598512,1,
1110,3000,76.44,598527,1,
1110,3100,78.49,598541,1,
1110,3200,80.54,598555,1,
1110,3300,82.59,1839421,1,
1110,3400,84.64,1839422,1,
1110,3500,86.69,1839423,1,
1110,3600,88.74,1839424,1,
1110,3700,90.79,1839425,1,
1110,3800,92.84,1839417,1,
1210,600,29.16,598084,1,
1210,700,31.52,598103,1,
1210,800,33.89,598122,1,
1210,900,34.3,598141,1,
1210,1000,36.53,598160,1,
1210,1100,38.76,598179,1,
1210,1200,40.99,598198,1,
1210,1300,43.22,598217,1,
1210,1400,45.45,598236,1,
1210,1500,47.68,598255,1,
1210,1600,49.91,598274,1,
1210,1700,52.14,598293,1,
1210,1800,54.86,598312,1,
1210,1900,57.09,598331,1,
1210,2000,59.32,598350,1,
1210,2100,61.55,598369,1,
1210,2200,63.79,598388,1,
1210,2300,66.02,598407,1,
1210,2400,68.99,598426,1,
1210,2500,71.22,598445,1,
1210,2600,73.45,598463,1,
1210,2700,75.68,598480,1,
1210,2800,77.91,598497,1,
1210,2900,80.14,598513,1,
1210,3000,82.37,598528,1,
1210,3100,84.6,598542,1,
1210,3200,86.83,598556,1,
1310,600,32.12,598085,1,
1310,700,34.69,598104,1,
1310,800,35.27,598123,1,
1310,900,37.68,598142,1,
1310,1000,40.1,598161,1,
1310,1100,42.52,598180,1,
1310,1200,44.94,598199,1,
1310,1300,47.36,598218,1,
1310,1400,49.78,598237,1,
1310,1500,52.2,598256,1,
1310,1600,54.62,598275,1,
1310,1700,57.03,598294,1,
1310,1800,59.45,598313,1,
1310,1900,61.87,598332,1,
1310,2000,64.29,598351,1,
1310,2100,66.71,598370,1,
1310,2200,69.13,598389,1,
1310,2300,71.55,598408,1,
1310,2400,74.71,598427,1,
1310,2500,77.12,598446,1,
1310,2600,79.54,598464,1,
1310,2700,81.96,598481,1,
1310,2800,84.38,598498,1,
1310,2900,86.8,598514,1,
1310,3000,89.22,598529,1,
1310,3100,91.64,598543,1,
1310,3200,94.06,598557,1,
1410,600,33.91,598086,1,
1410,700,36.66,598105,1,
1410,800,37.31,598124,1,
1410,900,39.9,598143,1,
1410,1000,42.5,598162,1,
1410,1100,45.1,598181,1,
1410,1200,47.69,598200,1,
1410,1300,50.29,598219,1,
1410,1400,52.88,598238,1,
1410,1500,55.48,598257,1,
1410,1600,58.08,598276,1,
1410,1700,60.67,598295,1,
1410,1800,63.27,598314,1,
1410,1900,65.87,598333,1,
1410,2000,68.46,598352,1,
1410,2100,71.06,598371,1,
1410,2200,73.66,598390,1,
1410,2300,76.25,598409,1,
1410,2400,79.59,598428,1,
1410,2500,82.19,598447,1,
1410,2600,84.78,598465,1,
1410,2700,87.38,598482,1,
1410,2800,89.98,598499,1,
1410,2900,92.57,598515,1,
1410,3000,95.17,598530,1,
1410,3100,97.77,598544,1,
1410,3200,100.36,598558,1,
1510,600,35.67,598087,1,
1510,700,36.55,598106,1,
1510,800,39.33,598125,1,
1510,900,42.1,598144,1,
1510,1000,44.88,598163,1,
1510,1100,47.65,598182,1,
1510,1200,50.42,598201,1,
1510,1300,53.2,598220,1,
1510,1400,55.97,598239,1,
1510,1500,58.75,598258,1,
1510,1600,61.52,598277,1,
1510,1700,64.3,598296,1,
1510,1800,67.07,598315,1,
1510,1900,69.85,598334,1,
1510,2000,72.62,598353,1,
1510,2100,75.39,598372,1,
1510,2200,78.17,598391,1,
1510,2300,80.94,598410,1,
1510,2400,84.46,598429,1,
1510,2500,87.23,598448,1,
1510,2600,90.01,598466,1,
1510,2700,92.78,598483,1,
1510,2800,95.56,598500,1,
1510,2900,98.33,598516,1,
1510,3000,101.1,598531,1,
1510,3100,103.88,598545,1,
1510,3200,106.65,598559,1,
1610,600,37.44,598088,1,
1610,700,38.4,598107,1,
1610,800,41.35,598126,1,
1610,900,44.3,598145,1,
1610,1000,47.25,598164,1,
1610,1100,50.21,598183,1,
1610,1200,53.16,598202,1,
1610,1300,56.11,598221,1,
1610,1400,59.06,598240,1,
1610,1500,62.01,598259,1,
1610,1600,64.97,598278,1,
1610,1700,67.92,598297,1,
1610,1800,70.87,598316,1,
1610,1900,73.82,598335,1,
1610,2000,76.78,598354,1,
1610,2100,79.73,598373,1,
1610,2200,82.68,598392,1,
1610,2300,85.63,598411,1,
1610,2400,89.33,598430,1,
1610,2500,92.28,598449,1,
1610,2600,95.23,598467,1,
1610,2700,98.18,598484,1,
1610,2800,101.13,598501,1,
1610,2900,104.09,598517,1,
1610,3000,107.04,598532,1,
1610,3100,109.99,598546,1,
1610,3200,112.94,598560,1,
1710,600,38.44,598089,1,
1710,700,41.59,598108,1,
1710,800,44.74,598127,1,
1710,900,47.89,598146,1,
1710,1000,51.04,598165,1,
1710,1100,54.19,598184,1,
1710,1200,57.34,598203,1,
1710,1300,60.5,598222,1,
1710,1400,63.65,598241,1,
1710,1500,66.8,598260,1,
1710,1600,69.95,598279,1,
1710,1700,73.1,598298,1,
1710,1800,76.25,598317,1,
1710,1900,79.4,598336,1,
1710,2000,82.55,598355,1,
1710,2100,85.7,598374,1,
1710,2200,88.85,598393,1,
1710,2300,92,598412,1,
1710,2400,95.9,598431,1,
1710,2500,99.05,598450,1,
1710,2600,102.2,598468,1,
1710,2700,105.35,598485,1,
1710,2800,108.5,598502,1,
1710,2900,111.65,598518,1,
1710,3000,114.8,598533,1,
1710,3100,117.95,598547,1,
1710,3200,121.1,598561,1,
1810,600,40.85,598090,1,
1810,700,44.18,598109,1,
1810,800,47.5,598128,1,
1810,900,50.83,598147,1,
1810,1000,54.16,598166,1,
1810,1100,57.49,598185,1,
1810,1200,60.82,598204,1,
1810,1300,64.15,598223,1,
1810,1400,67.48,598242,1,
1810,1500,70.8,598261,1,
1810,1600,74.13,598280,1,
1810,1700,77.46,598299,1,
1810,1800,80.79,598318,1,
1810,1900,84.12,598337,1,
1810,2000,87.45,598356,1,
1810,2100,90.78,598375,1,
1810,2200,94.11,598394,1,
1810,2300,97.43,598413,1,
1810,2400,100.76,598432,1,
1810,2500,104.09,598451,1,
1810,2600,107.42,598469,1,
1810,2700,110.75,598486,1,
1810,2800,114.08,598503,1,
1810,2900,117.41,598519,1,
1810,3000,120.73,598534,1,
1810,3100,124.06,598548,1,
1810,3200,127.39,598562,1,
1910,600,42.53,598091,1,
1910,700,46.04,598110,1,
1910,800,49.54,598129,1,
1910,900,53.05,598148,1,
1910,1000,56.56,598167,1,
1910,1100,60.06,598186,1,
1910,1200,63.57,598205,1,
1910,1300,67.08,598224,1,
1910,1400,70.58,598243,1,
