Width,Drop,Cost,ID,prID
610,600,24.05,600122,3,
610,700,25.75,600141,3,
610,800,27.45,600160,3,
610,900,29.15,600179,3,
610,1000,30.85,600198,3,
610,1100,32.55,600217,3,
610,1200,34.25,600236,3,
610,1300,35.95,600255,3,
610,1400,37.65,600274,3,
610,1500,39.35,600293,3,
610,1600,41.06,600312,3,
610,1700,40.47,600331,3,
610,1800,42.77,600350,3,
610,1900,44.37,600369,3,
610,2000,45.98,600388,3,
610,2100,47.58,600407,3,
610,2200,49.19,600426,3,
610,2300,50.79,600445,3,
610,2400,53.43,600464,3,
610,2500,55.04,600483,3,
610,2600,56.64,600501,3,
610,2700,58.25,600518,3,
610,2800,59.85,600535,3,
610,2900,61.45,600551,3,
610,3000,63.06,600566,3,
610,3100,64.66,600580,3,
610,3200,66.27,600594,3,
710,600,27.52,600123,3,
710,700,29.5,600142,3,
710,800,31.48,600161,3,
710,900,33.46,600180,3,
710,1000,35.44,600199,3,
710,1100,37.42,600218,3,
710,1200,39.4,600237,3,
710,1300,41.38,600256,3,
710,1400,43.36,600275,3,
710,1500,42.91,600294,3,
710,1600,44.78,600313,3,
710,1700,46.65,600332,3,
710,1800,49.21,600351,3,
710,1900,51.08,600370,3,
710,2000,52.95,600389,3,
710,2100,54.82,600408,3,
710,2200,56.69,600427,3,
710,2300,58.55,600446,3,
710,2400,61.46,600465,3,
710,2500,63.33,600484,3,
710,2600,65.2,600502,3,
710,2700,67.07,600519,3,
710,2800,68.94,600536,3,
710,2900,70.8,600552,3,
710,3000,72.67,600567,3,
710,3100,74.54,600581,3,
710,3200,76.41,600595,3,
810,600,30,600124,3,
810,700,32.24,600143,3,
810,800,34.49,600162,3,
810,900,36.73,600181,3,
810,1000,38.98,600200,3,
810,1100,41.22,600219,3,
810,1200,43.47,600238,3,
810,1300,43.26,600257,3,
810,1400,45.38,600276,3,
810,1500,47.5,600295,3,
810,1600,49.62,600314,3,
810,1700,51.74,600333,3,
810,1800,54.55,600352,3,
810,1900,56.67,600371,3,
810,2000,58.78,600390,3,
810,2100,60.9,600409,3,
810,2200,63.02,600428,3,
810,2300,65.14,600447,3,
810,2400,68.3,600466,3,
810,2500,70.41,600485,3,
810,2600,72.53,600503,3,
810,2700,74.65,600520,3,
810,2800,76.77,600537,3,
810,2900,78.89,600553,3,
810,3000,81,600568,3,
810,3100,83.12,600582,3,
810,3200,85.24,600596,3,
910,600,32.48,600125,3,
910,700,34.99,600144,3,
910,800,37.5,600163,3,
910,900,40.01,600182,3,
910,1000,42.52,600201,3,
910,1100,42.62,600220,3,
910,1200,44.98,600239,3,
910,1300,47.35,600258,3,
910,1400,49.72,600277,3,
910,1500,52.09,600296,3,
910,1600,54.45,600315,3,
910,1700,56.82,600334,3,
910,1800,59.88,600353,3,
910,1900,62.25,600372,3,
910,2000,64.62,600391,3,
910,2100,66.99,600410,3,
910,2200,69.35,600429,3,
910,2300,71.72,600448,3,
910,2400,75.13,600467,3,
910,2500,77.5,600486,3,
910,2600,79.86,600504,3,
910,2700,82.23,600521,3,
910,2800,84.6,600538,3,
910,2900,86.97,600554,3,
910,3000,89.33,600569,3,
910,3100,91.7,600583,3,
910,3200,94.07,600597,3,
1010,600,35.97,600126,3,
1010,700,38.76,600145,3,
1010,800,41.55,600164,3,
1010,900,44.34,600183,3,
1010,1000,44.6,600202,3,
1010,1100,47.23,600221,3,
1010,1200,49.87,600240,3,
1010,1300,52.5,600259,3,
1010,1400,55.13,600278,3,
1010,1500,57.76,600297,3,
1010,1600,60.39,600316,3,
1010,1700,63.02,600335,3,
