Width,Drop,Cost,ID,prID
610,600,13.54,1887045,2,
610,700,14.5,1887068,2,
610,800,15.46,1887091,2,
610,900,16.42,1887114,2,
610,1000,17.37,1887137,2,
610,1100,18.33,1887160,2,
610,1200,19.29,1887183,2,
610,1300,20.25,1887206,2,
610,1400,21.2,1887229,2,
610,1500,22.16,1887252,2,
610,1600,23.12,1887275,2,
610,1700,22.79,1887298,2,
610,1800,24.08,1887321,2,
610,1900,24.99,1887344,2,
610,2000,25.89,1887367,2,
610,2100,26.79,1887390,2,
610,2200,27.7,1887413,2,
610,2300,28.6,1887436,2,
610,2400,30.09,1887459,2,
610,2500,30.99,1887482,2,
610,2600,31.9,1887505,2,
610,2700,32.8,1887528,2,
610,2800,33.7,1887551,2,
610,2900,34.61,1887574,2,
610,3000,35.51,1887589,2,
610,3100,36.41,1887603,2,
610,3200,37.32,1887617,2,
610,3300,38.23,2231452,2,
610,3400,39.14,2231453,2,
610,3500,40.05,2231454,2,
610,3600,40.96,2231455,2,
710,600,15.5,1887046,2,
710,700,16.61,1887069,2,
710,800,17.73,1887092,2,
710,900,18.84,1887115,2,
710,1000,19.96,1887138,2,
710,1100,21.07,1887161,2,
710,1200,22.19,1887184,2,
710,1300,23.3,1887207,2,
710,1400,24.42,1887230,2,
710,1500,24.17,1887253,2,
710,1600,25.22,1887276,2,
710,1700,26.27,1887299,2,
710,1800,27.71,1887322,2,
710,1900,28.76,1887345,2,
710,2000,29.82,1887368,2,
710,2100,30.87,1887391,2,
710,2200,31.92,1887414,2,
710,2300,32.97,1887437,2,
710,2400,34.61,1887460,2,
710,2500,35.66,1887483,2,
710,2600,36.71,1887506,2,
710,2700,37.77,1887529,2,
710,2800,38.82,1887552,2,
710,2900,39.87,1887575,2,
710,3000,40.92,1887590,2,
710,3100,41.97,1887604,2,
710,3200,43.03,1887618,2,
810,600,16.89,1887047,2,
810,700,18.16,1887070,2,
810,800,19.42,1887093,2,
810,900,20.69,1887116,2,
810,1000,21.95,1887139,2,
810,1100,23.21,1887162,2,
810,1200,24.48,1887185,2,
810,1300,24.36,1887208,2,
810,1400,25.55,1887231,2,
810,1500,26.75,1887254,2,
810,1600,27.94,1887277,2,
810,1700,29.13,1887300,2,
810,1800,30.72,1887323,2,
810,1900,31.91,1887346,2,
810,2000,33.1,1887369,2,
810,2100,34.29,1887392,2,
810,2200,35.49,1887415,2,
810,2300,36.68,1887438,2,
810,2400,38.46,1887461,2,
810,2500,39.65,1887484,2,
810,2600,40.84,1887507,2,
810,2700,42.04,1887530,2,
810,2800,43.23,1887553,2,
810,2900,44.42,1887576,2,
810,3000,45.61,1887591,2,
810,3100,46.81,1887605,2,
810,3200,48,1887619,2,
910,600,18.29,1887048,2,
910,700,19.7,1887071,2,
910,800,21.12,1887094,2,
910,900,22.53,1887117,2,
910,1000,23.94,1887140,2,
910,1100,24,1887163,2,
910,1200,25.33,1887186,2,
910,1300,26.66,1887209,2,
910,1400,28,1887232,2,
910,1500,29.33,1887255,2,
910,1600,30.66,1887278,2,
910,1700,32,1887301,2,
910,1800,33.72,1887324,2,
910,1900,35.05,1887347,2,
910,2000,36.39,1887370,2,
910,2100,37.72,1887393,2,
910,2200,39.05,1887416,2,
910,2300,40.39,1887439,2,
910,2400,42.31,1887462,2,
910,2500,43.64,1887485,2,
910,2600,44.97,1887508,2,
910,2700,46.3,1887531,2,
910,2800,47.64,1887554,2,
910,2900,48.97,1887577,2,
910,3000,50.3,1887592,2,
910,3100,51.64,1887606,2,
910,3200,52.97,1887620,2,
1010,600,20.26,1887049,2,
1010,700,21.83,1887072,2,
1010,800,23.4,1887095,2,
1010,900,24.97,1887118,2,
1010,1000,25.12,1887141,2,
1010,1100,26.6,1887164,2,
1010,1200,28.08,1887187,2,
1010,1300,29.56,1887210,2,
1010,1400,31.04,1887233,2,
1010,1500,32.53,1887256,2,
1010,1600,34.01,1887279,2,
1010,1700,35.49,1887302,2,
1010,1800,37.36,1887325,2,
1010,1900,38.84,1887348,2,
1010,2000,40.33,1887371,2,
1010,2100,41.81,1887394,2,
1010,2200,43.29,1887417,2,
1010,2300,44.77,1887440,2,
1010,2400,46.84,1887463,2,
1010,2500,48.32,1887486,2,
1010,2600,49.8,1887509,2,
1010,2700,51.29,1887532,2,
1010,2800,52.77,1887555,2,
1010,2900,54.25,1887578,2,
1010,3000,55.73,1887593,2,
1010,3100,57.21,1887607,2,
1010,3200,58.7,1887621,2,
1110,600,21.65,1887050,2,
1110,700,23.37,1887073,2,
1110,800,25.09,1887096,2,
1110,900,26.81,1887119,2,
1110,1000,26.99,1887142,2,
1110,1100,28.62,1887165,2,
1110,1200,30.24,1887188,2,
1110,1300,31.86,1887211,2,
1110,1400,33.49,1887234,2,
1110,1500,35.11,1887257,2,
1110,1600,36.73,1887280,2,
1110,1700,38.35,1887303,2,
1110,1800,40.37,1887326,2,
1110,1900,41.99,1887349,2,
1110,2000,43.61,1887372,2,
1110,2100,45.23,1887395,2,
1110,2200,46.86,1887418,2,
1110,2300,48.48,1887441,2,
1110,2400,50.69,1887464,2,
1110,2500,52.31,1887487,2,
1110,2600,53.93,1887510,2,
1110,2700,55.56,1887533,2,
1110,2800,57.18,1887556,2,
1110,2900,58.8,1887579,2,
1110,3000,60.42,1887594,2,
1110,3100,62.05,1887608,2,
1110,3200,63.67,1887622,2,
1210,600,23.05,1887051,2,
1210,700,24.92,1887074,2,
1210,800,26.79,1887097,2,
1210,900,27.11,1887120,2,
1210,1000,28.87,1887143,2,
1210,1100,30.64,1887166,2,
1210,1200,32.4,1887189,2,
1210,1300,34.16,1887212,2,
1210,1400,35.93,1887235,2,
1210,1500,37.69,1887258,2,
1210,1600,39.45,1887281,2,
1210,1700,41.22,1887304,2,
1210,1800,43.37,1887327,2,
1210,1900,45.13,1887350,2,
1210,2000,46.9,1887373,2,
1210,2100,48.66,1887396,2,
1210,2200,50.42,1887419,2,
1210,2300,52.19,1887442,2,
1210,2400,54.54,1887465,2,
1210,2500,56.3,1887488,2,
1210,2600,58.06,1887511,2,
1210,2700,59.82,1887534,2,
1210,2800,61.59,1887557,2,
1210,2900,63.35,1887580,2,
1210,3000,65.11,1887595,2,
1210,3100,66.88,1887609,2,
1210,3200,68.64,1887623,2,
1310,600,25.39,1887052,2,
1310,700,27.42,1887075,2,
1310,800,27.88,1887098,2,
1310,900,29.79,1887121,2,
1310,1000,31.7,1887144,2,
1310,1100,33.61,1887167,2,
1310,1200,35.53,1887190,2,
1310,1300,37.44,1887213,2,
1310,1400,39.35,1887236,2,
1310,1500,41.26,1887259,2,
1310,1600,43.17,1887282,2,
1310,1700,45.09,1887305,2,
1310,1800,47,1887328,2,
1310,1900,48.91,1887351,2,
1310,2000,50.82,1887374,2,
1310,2100,52.73,1887397,2,
1310,2200,54.65,1887420,2,
1310,2300,56.56,1887443,2,
1310,2400,59.06,1887466,2,
1310,2500,60.97,1887489,2,
1310,2600,62.88,1887512,2,
1310,2700,64.79,1887535,2,
1310,2800,66.7,1887558,2,
1310,2900,68.62,1887581,2,
1310,3000,70.53,1887596,2,
1310,3100,72.44,1887610,2,
1310,3200,74.35,1887624,2,
1410,600,26.8,1887053,2,
1410,700,28.98,1887076,2,
1410,800,29.49,1887099,2,
1410,900,31.54,1887122,2,
1410,1000,33.6,1887145,2,
1410,1100,35.65,1887168,2,
1410,1200,37.7,1887191,2,
1410,1300,39.75,1887214,2,
1410,1400,41.81,1887237,2,
1410,1500,43.86,1887260,2,
1410,1600,45.91,1887283,2,
1410,1700,47.96,1887306,2,
1410,1800,50.02,1887329,2,
1410,1900,52.07,1887352,2,
1410,2000,54.12,1887375,2,
1410,2100,56.17,1887398,2,
1410,2200,58.23,1887421,2,
1410,2300,60.28,1887444,2,
1410,2400,62.92,1887467,2,
1410,2500,64.97,1887490,2,
1410,2600,67.02,1887513,2,
1410,2700,69.07,1887536,2,
1410,2800,71.13,1887559,2,
1410,2900,73.18,1887582,2,
1410,3000,75.23,1887597,2,
1410,3100,77.29,1887611,2,
1410,3200,79.34,1887625,2,
1510,600,28.2,1887054,2,
1510,700,28.9,1887077,2,
1510,800,31.09,1887100,2,
1510,900,33.28,1887123,2,
1510,1000,35.48,1887146,2,
1510,1100,37.67,1887169,2,
1510,1200,39.86,1887192,2,
1510,1300,42.05,1887215,2,
1510,1400,44.25,1887238,2,
1510,1500,46.44,1887261,2,
1510,1600,48.63,1887284,2,
1510,1700,50.83,1887307,2,
1510,1800,53.02,1887330,2,
1510,1900,55.21,1887353,2,
1510,2000,57.41,1887376,2,
1510,2100,59.6,1887399,2,
1510,2200,61.79,1887422,2,
1510,2300,63.99,1887445,2,
1510,2400,66.76,1887468,2,
1510,2500,68.96,1887491,2,
1510,2600,71.15,1887514,2,
1510,2700,73.34,1887537,2,
1510,2800,75.54,1887560,2,
1510,2900,77.73,1887583,2,
1510,3000,79.92,1887598,2,
1510,3100,82.12,1887612,2,
1510,3200,84.31,1887626,2,
1610,600,29.6,1887055,2,
1610,700,30.35,1887078,2,
1610,800,32.69,1887101,2,
1610,900,35.02,1887124,2,
1610,1000,37.35,1887147,2,
1610,1100,39.69,1887170,2,
1610,1200,42.02,1887193,2,
1610,1300,44.36,1887216,2,
1610,1400,46.69,1887239,2,
1610,1500,49.02,1887262,2,
1610,1600,51.36,1887285,2,
1610,1700,53.69,1887308,2,
1610,1800,56.02,1887331,2,
1610,1900,58.36,1887354,2,
1610,2000,60.69,1887377,2,
1610,2100,63.03,1887400,2,
1610,2200,65.36,1887423,2,
1610,2300,67.69,1887446,2,
1610,2400,70.61,1887469,2,
1610,2500,72.95,1887492,2,
1610,2600,75.28,1887515,2,
1610,2700,77.61,1887538,2,
1610,2800,79.95,1887561,2,
1610,2900,82.28,1887584,2,
1610,3000,84.61,1887599,2,
1610,3100,86.95,1887613,2,
1610,3200,89.28,1887627,2,
1710,600,30.39,1887056,2,
1710,700,32.88,1887079,2,
1710,800,35.37,1887102,2,
1710,900,37.86,1887125,2,
1710,1000,40.35,1887148,2,
1710,1100,42.84,1887171,2,
1710,1200,45.33,1887194,2,
1710,1300,47.82,1887217,2,
1710,1400,50.31,1887240,2,
1710,1500,52.8,1887263,2,
1710,1600,55.29,1887286,2,
1710,1700,57.79,1887309,2,
1710,1800,60.28,1887332,2,
1710,1900,62.77,1887355,2,
1710,2000,65.26,1887378,2,
1710,2100,67.75,1887401,2,
1710,2200,70.24,1887424,2,
1710,2300,72.73,1887447,2,
1710,2400,75.81,1887470,2,
1710,2500,78.3,1887493,2,
1710,2600,80.79,1887516,2,
1710,2700,83.28,1887539,2,
1710,2800,85.77,1887562,2,
1710,2900,88.26,1887585,2,
1710,3000,90.75,1887600,2,
1710,3100,93.24,1887614,2,
1710,3200,95.73,1887628,2,
1810,600,32.29,1887057,2,
1810,700,34.92,1887080,2,
1810,800,37.55,1887103,2,
1810,900,40.18,1887126,2,
1810,1000,42.82,1887149,2,
1810,1100,45.45,1887172,2,
1810,1200,48.08,1887195,2,
1810,1300,50.71,1887218,2,
1810,1400,53.34,1887241,2,
1810,1500,55.97,1887264,2,
1810,1600,58.6,1887287,2,
1810,1700,61.23,1887310,2,
1810,1800,63.87,1887333,2,
1810,1900,66.5,1887356,2,
1810,2000,69.13,1887379,2,
1810,2100,71.76,1887402,2,
1810,2200,74.39,1887425,2,
1810,2300,77.02,1887448,2,
1810,2400,79.65,1887471,2,
1810,2500,82.29,1887494,2,
1810,2600,84.92,1887517,2,
1810,2700,87.55,1887540,2,
1810,2800,90.18,1887563,2,
1810,2900,92.81,1887586,2,
1810,3000,95.44,1887601,2,
1810,3100,98.07,1887615,2,
1810,3200,100.7,1887629,2,
1910,600,33.62,1887058,2,
1910,700,36.39,1887081,2,
1910,800,39.16,1887104,2,
1910,900,41.94,1887127,2,
1910,1000,44.71,1887150,2,
1910,1100,47.48,1887173,2,
1910,1200,50.25,1887196,2,
1910,1300,53.02,1887219,2,
1910,1400,55.8,1887242,2,
1910,1500,58.57,1887265,2,
1910,1600,61.34,1887288,2,
1910,1700,64.11,1887311,2,
1910,1800,66.88,1887334,2,
1910,1900,69.66,1887357,2,
1910,2000,72.43,1887380,2,
1910,2100,75.2,1887403,2,
1910,2200,77.97,1887426,2,
1910,2300,80.74,1887449,2,
1910,2400,83.52,1887472,2,
1910,2500,86.29,1887495,2,
1910,2600,89.06,1887518,2,
1910,2700,91.83,1887541,2,
1910,2800,94.6,1887564,2,
1910,2900,97.37,1887587,2,
1910,3000,100.15,1887602,2,
1910,3100,102.92,1887616,2,
2010,600,34.94,1887059,2,
2010,700,37.85,1887082,2,
2010,800,40.76,1887105,2,
2010,900,43.68,1887128,2,
2010,1000,46.59,1887151,2,
2010,1100,49.5,1887174,2,
2010,1200,52.41,1887197,2,
2010,1300,55.33,1887220,2,
2010,1400,58.24,1887243,2,
2010,1500,61.15,1887266,2,
2010,1600,64.06,1887289,2,
2010,1700,66.98,1887312,2,
2010,1800,69.89,1887335,2,
2010,1900,72.8,1887358,2,
2010,2000,75.71,1887381,2,
2010,2100,78.63,1887404,2,
2010,2200,81.54,1887427,2,
2010,2300,84.45,1887450,2,
2010,2400,87.36,1887473,2,
2010,2500,90.28,1887496,2,
2010,2600,93.19,1887519,2,
2010,2700,96.1,1887542,2,
2010,2800,99.01,1887565,2,
2010,2900,101.93,1887588,2,
2110,600,36.26,1887060,2,
2110,700,39.31,1887083,2,
2110,800,42.36,1887106,2,
2110,900,45.41,1887129,2,
2110,1000,48.47,1887152,2,
2110,1100,51.52,1887175,2,
2110,1200,54.57,1887198,2,
2110,1300,57.63,1887221,2,
2110,1400,60.68,1887244,2,
2110,1500,63.73,1887267,2,
2110,1600,66.79,1887290,2,
2110,1700,69.84,1887313,2,
2110,1800,72.89,1887336,2,
2110,1900,75.95,1887359,2,
2110,2000,79,1887382,2,
2110,2100,82.05,1887405,2,
2110,2200,85.1,1887428,2,
2110,2300,88.16,1887451,2,
2110,2400,91.21,1887474,2,
2110,2500,94.26,1887497,2,
2110,2600,97.32,1887520,2,
2110,2700,100.37,1887543,2,
2110,2800,103.42,1887566,2,
2210,600,37.57,1887061,2,
2210,700,40.77,1887084,2,
2210,800,43.96,1887107,2,
2210,900,47.15,1887130,2,
2210,1000,50.35,1887153,2,
2210,1100,53.54,1887176,2,
2210,1200,56.73,1887199,2,
2210,1300,59.93,1887222,2,
2210,1400,63.12,1887245,2,
2210,1500,66.32,1887268,2,
2210,1600,69.51,1887291,2,
2210,1700,72.7,1887314,2,
2210,1800,75.9,1887337,2,
2210,1900,79.09,1887360,2,
2210,2000,82.28,1887383,2,
2210,2100,85.48,1887406,2,
2210,2200,88.67,1887429,2,
2210,2300,91.86,1887452,2,
2210,2400,95.06,1887475,2,
2210,2500,98.25,1887498,2,
2210,2600,101.45,1887521,2,
2210,2700,104.64,1887544,2,
2210,2800,107.83,1887567,2,
2310,600,38.89,1887062,2,
2310,700,42.22,1887085,2,
2310,800,45.56,1887108,2,
2310,900,48.89,1887131,2,
2310,1000,52.23,1887154,2,
2310,1100,55.56,1887177,2,
2310,1200,58.9,1887200,2,
2310,1300,62.23,1887223,2,
2310,1400,65.56,1887246,2,
2310,1500,68.9,1887269,2,
2310,1600,72.23,1887292,2,
2310,1700,75.57,1887315,2,
2310,1800,78.9,1887338,2,
2310,1900,82.23,1887361,2,
2310,2000,85.57,1887384,2,
2310,2100,88.9,1887407,2,
2310,2200,92.24,1887430,2,
2310,2300,95.57,1887453,2,
2310,2400,98.91,1887476,2,
2310,2500,102.24,1887499,2,
2310,2600,105.58,1887522,2,
2310,2700,108.91,1887545,2,
2310,2800,112.24,1887568,2,
2410,600,40.21,1887063,2,
2410,700,43.68,1887086,2,
2410,800,47.16,1887109,2,
2410,900,50.63,1887132,2,
2410,1000,54.11,1887155,2,
2410,1100,57.58,1887178,2,
2410,1200,61.06,1887201,2,
2410,1300,64.53,1887224,2,
2410,1400,68.01,1887247,2,
2410,1500,71.48,1887270,2,
2410,1600,74.96,1887293,2,
2410,1700,78.43,1887316,2,
2410,1800,81.9,1887339,2,
2410,1900,85.38,1887362,2,
2410,2000,88.85,1887385,2,
2410,2100,92.33,1887408,2,
2410,2200,95.8,1887431,2,
2410,2300,99.28,1887454,2,
2410,2400,102.75,1887477,2,
2410,2500,106.23,1887500,2,
2410,2600,109.71,1887523,2,
2410,2700,113.18,1887546,2,
2410,2800,116.65,1887569,2,
2510,600,41.52,1887064,2,
2510,700,45.14,1887087,2,
2510,800,48.75,1887110,2,
2510,900,52.37,1887133,2,
2510,1000,55.99,1887156,2,
2510,1100,59.6,1887179,2,
2510,1200,63.22,1887202,2,
2510,1300,66.83,1887225,2,
2510,1400,70.45,1887248,2,
2510,1500,74.06,1887271,2,
2510,1600,77.68,1887294,2,
2510,1700,81.29,1887317,2,
2510,1800,84.91,1887340,2,
2510,1900,88.52,1887363,2,
2510,2000,92.14,1887386,2,
2510,2100,95.76,1887409,2,
2510,2200,99.37,1887432,2,
2510,2300,102.99,1887455,2,
2510,2400,106.59,1887478,2,
2510,2500,110.22,1887501,2,
2510,2600,113.84,1887524,2,
2510,2700,117.45,1887547,2,
2510,2800,121.06,1887570,2,
2610,600,42.84,1887065,2,
2610,700,46.6,1887088,2,
2610,800,50.35,1887111,2,
2610,900,54.11,1887134,2,
